timestamp,status,spot_fv,perp_price,fair_value,basis_bps,pos,bid,ask
1773836003.2780318,NORMAL,72731.52456836553539068638226,72689.57,72718.94,-5.768241384063361439904614717,2.5,72705.44,72707.44
1773836003.779086,NORMAL,72731.62779853850321021073094,72694.60,72720.52,-5.091462383313084718206700087,2.4,72707.52,72709.52
1773836004.2797608,NORMAL,72731.64975969379979851155187,72696.90,72721.22,-4.778028463032306735723437445,2.3,72708.72,72710.72
1773836004.7801542,NORMAL,72731.64975969379979851155187,72694.29,72720.44,-5.136017287539891290483276225,2.2,72708.44,72710.44
1773836005.281955,NORMAL,72731.70470346278260093639994,72697.50,72721.44,-4.702864101098753089733845263,2.1,72709.94,72711.94
1773836005.782335,NORMAL,72731.52764581367201573934741,72699.27,72721.85,-4.435572976561044218877281056,2.0,72710.85,72712.85
1773836006.283798,NORMAL,72735.68655786552053040853332,72699.29,72724.77,-5.003347189425500685594078460,1.9,72714.27,72716.27
1773836006.784723,NORMAL,72735.73367860993240799469069,72699.26,72724.79,-5.014053157624683704617491688,1.8,72714.79,72716.79
1773836007.28525,NORMAL,72735.91674485845094977651990,72699.26,72724.92,-5.039522172837256455304184568,1.7,72715.42,72717.42
1773836007.786755,NORMAL,72735.77239325215720839976156,72699.23,72724.81,-5.024454368029626632688832869,1.6,72715.81,72717.81
1773836008.288178,NORMAL,72727.52948239534929618246632,72695.64,72717.96,-4.385184390173742872042557759,1.5,72709.46,72711.46
1773836008.788789,NORMAL,72727.52948239534929618246632,72704.16,72720.52,-3.213687690110930066091042307,1.4,72712.52,72714.52
1773836009.290209,NORMAL,72735.90910169581773718712296,72704.15,72726.38,-4.365760160082967235049269643,1.3,72718.88,72720.88
1773836009.791685,NORMAL,72735.79145115814589312431855,72702.71,72725.87,-4.548250015467557868689077549,1.2,72718.87,72720.87
1773836010.2922409,NORMAL,72735.89959849379034584492613,72702.71,72725.94,-4.562598541158173340901687244,1.1,72719.44,72721.44
1773836010.793691,NORMAL,72735.89787959782139426417275,72702.74,72725.95,-4.558495506954834472193692652,1.0,72719.95,72721.95
1773836011.295112,NORMAL,72735.83452022125291722762256,72702.71,72725.90,-4.553413717005414185068401136,0.9,72720.40,72722.40
1773836011.796567,NORMAL,72735.93674873087143181228724,72702.76,72725.98,-4.561021792921219730841542535,0.8,72720.98,72722.98
1773836012.2975428,NORMAL,72736.12949699298583141180616,72702.72,72726.11,-4.593575777412823091121788195,0.7,72721.61,72723.61
1773836012.7983801,NORMAL,72736.66946218650391982559975,72702.75,72726.49,-4.662721080581655569515002013,0.6,72722.49,72724.49
1773836013.299318,NORMAL,72736.59865644155272380349574,72702.74,72726.44,-4.654868489525112400077183816,0.5,72722.94,72724.94
1773836013.800799,NORMAL,72736.01200712436216096327465,72699.44,72725.04,-5.028398615321568727946959624,0.4,72722.04,72724.04
1773836014.3013592,NORMAL,72735.98836480677578901839623,72699.46,72725.03,-5.022462583909753778065196009,0.3,72722.53,72724.53
1773836014.8019688,NORMAL,72736.00899499129225863365275,72694.54,72723.57,-5.701296139010090956252323506,0.2,72721.57,72723.57
1773836015.302531,NORMAL,72729.90970759249875385832199,72694.59,72719.31,-4.856588460806025470708969484,0.1,72717.81,72719.81
1773836015.802996,NORMAL,72729.90970759249875385832199,72699.40,72720.76,-4.195071011430023128488249435,0.1,72719.26,72721.26
